time,duration,src_computer,src_port,dst_computer,dst_port,protocol,packet_count,byte_count
5,0,C457,389.0,C5611,,17,1,117
5,0,C457,88.0,C4254,,17,1,1346
5,0,C457,88.0,C4254,,17,1,1374
5,0,C457,88.0,C4254,,17,1,1404
5,0,C457,88.0,C4254,,17,1,1374
5,0,C5611,,C457,389.0,17,1,108
5,0,C5611,,C457,389.0,17,1,80
5,0,C5720,111.0,C20101,,6,4,252
5,0,C5720,,C20101,,6,4,248
5,0,C5720,,C20101,,6,4,248
5,0,C5736,,C11573,111.0,17,1,84
5,0,C612,389.0,C4254,,17,1,193
5,1,C2270,,C5721,22.0,6,20,3324
5,1,C3173,,C1554,,6,3,138
5,1,C5721,22.0,C2270,,6,23,9726
5,11,C1607,,C1707,,6,10,3821
5,12,C244,,C457,445.0,6,13,4217
5,12,C457,445.0,C244,,6,9,1653
5,13,C4254,,C625,445.0,6,5756,614529
5,13,C625,445.0,C4254,,6,5765,662136
5,16,C4254,,C612,135.0,6,8,859
5,16,C4254,,C612,,6,7,871
5,16,C612,135.0,C4254,,6,6,800
5,16,C612,,C4254,,6,5,436
5,22,C4254,,C625,,1,4,240
5,22,C625,,C4254,,1,4,240
5,34,C3193,2432.0,C5721,445.0,6,4,278
5,34,C5721,445.0,C3193,2432.0,6,2,186
5,51,C4550,,C467,,6,11,1275
5,51,C467,,C4550,,6,9,1572
5,6,C1707,,C1607,,6,6,547
6,0,C1065,389.0,C2475,,6,6,620
6,0,C122,137.0,C4174,137.0,17,1,78
6,0,C122,137.0,C4920,137.0,17,1,78
6,0,C1357,,C528,389.0,17,1,193
6,0,C20101,,C5720,111.0,6,6,380
6,0,C20101,,C5720,2049.0,6,6,364
6,0,C20101,,C5720,111.0,17,1,84
6,0,C20101,,C5720,,17,1,68
6,0,C20101,,C5720,,17,1,132
6,0,C20101,,C5720,2049.0,6,12,1476
6,0,C2415,,C706,80.0,6,1,46
6,0,C2475,,C1065,389.0,6,7,1875
6,0,C2475,,C586,,6,7,1875
6,0,C2957,,C366,445.0,6,1,52
6,0,C366,445.0,C2957,,6,1,46
6,0,C4174,137.0,C122,137.0,17,1,84
6,0,C443,,C754,80.0,6,6,874
6,0,C4920,137.0,C122,137.0,17,1,84
6,0,C528,389.0,C1357,,17,1,195
6,0,C5474,,C1841,,6,4,654
6,0,C5720,111.0,C20101,,6,4,252
6,0,C5720,111.0,C20101,,17,1,56
6,0,C5720,2049.0,C20101,,6,4,248
6,0,C5720,2049.0,C20101,,6,9,1484
6,0,C5720,,C20101,,17,1,52
6,0,C5720,,C20101,,17,1,100
6,0,C586,,C2475,,6,5,574
6,0,C754,80.0,C443,,6,4,4387
6,15,C1357,,C528,135.0,6,7,644
6,15,C528,135.0,C1357,,6,5,504
6,2,C443,,C754,80.0,6,7,882
6,2,C754,80.0,C443,,6,4,4387
6,3,C443,,C706,80.0,6,8,1146
6,3,C706,80.0,C443,,6,5,4633
6,35,C1357,,C528,,6,12,3696
6,35,C528,,C1357,,6,10,1780
6,37,C1015,,C3668,,6,2,92
6,6,C2270,,C5721,22.0,6,20,3356
6,6,C5721,22.0,C2270,,6,18,2442
7,0,C1515,,C586,389.0,17,1,193
7,0,C231,80.0,C443,,6,5,4633
7,0,C443,,C231,80.0,6,7,1100
7,0,C586,389.0,C1515,,17,1,193
7,11,C3211,,C1685,,6,6,1223
7,2,C231,80.0,C443,,6,4,4387
7,2,C443,,C231,80.0,6,7,882
7,30,C2584,,C467,135.0,6,7,540
7,30,C2584,,C467,,6,7,631
7,30,C3405,,C467,,6,7,639
7,30,C3405,,C467,135.0,6,7,540
7,30,C467,135.0,C2584,,6,5,520
7,30,C467,135.0,C3405,,6,5,520
7,30,C467,,C2584,,6,6,772
7,30,C467,,C3405,,6,5,516
7,52,C194,137.0,C4174,137.0,17,8,624
7,52,C194,137.0,C4920,137.0,17,8,624
7,52,C4174,137.0,C194,137.0,17,8,672
7,52,C4920,137.0,C194,137.0,17,8,672
7,59,C2026,2049.0,C26188,,6,49,6466
7,59,C26188,,C2026,2049.0,6,58,8992
7,6,C1685,,C3211,,6,4,2753
7,9,C1340,,C787,,6,3,144
8,0,C1222,,C3812,445.0,6,1,52
8,0,C1515,,C529,389.0,17,1,192
8,0,C1515,,C528,389.0,17,1,192
8,0,C1685,,C23396,,6,5,424
8,0,C1707,,C23396,,6,4,376
8,0,C23396,,C1685,,6,6,430
8,0,C23396,,C1707,,6,6,430
8,0,C3616,,C586,,1,2,120
8,0,C3812,445.0,C1222,,6,1,46
8,0,C4232,,C706,80.0,6,7,2995
8,0,C528,389.0,C1515,,17,1,195
8,0,C528,389.0,C3239,,17,1,195
8,0,C528,88.0,C3239,,17,1,1402
8,0,C528,88.0,C3239,,17,1,1372
8,0,C529,389.0,C1515,,17,1,193
8,0,C529,445.0,C1467,,6,7,1429
8,0,C586,,C3616,,1,2,120
8,0,C706,80.0,C4232,,6,4,511
8,1,C1467,,C529,445.0,6,10,3963
8,1,C3173,,C2758,,6,3,138
8,12,C1515,,C586,135.0,6,7,644
8,12,C3616,,C586,445.0,6,17,4419
8,12,C586,135.0,C1515,,6,5,504
8,12,C586,445.0,C3616,,6,14,2372
8,12,C586,445.0,C3616,,6,15,2418
8,14,C3173,135.0,C2758,,6,6,716
8,29,C357,,C706,80.0,6,13,6628
8,29,C706,80.0,C357,,6,10,4602
8,31,C586,,C1515,,6,9,1552
8,32,C1515,,C586,,6,11,3123
8,6,C1515,,C586,389.0,6,20,5926
8,6,C586,389.0,C1515,,6,23,24670
8,6,C586,389.0,C1515,,6,25,27368
9,0,C1135,,C529,445.0,6,1,52
9,0,C1322,,C5030,443.0,6,6,1647
9,0,C1515,,C528,88.0,6,5,2670
9,0,C1515,,C528,88.0,6,6,1664
9,0,C1685,,C23396,,6,5,2694
9,0,C23396,,C1685,,6,7,1272
9,0,C5030,443.0,C1322,,6,5,1493
9,0,C528,88.0,C1515,,6,5,360
9,0,C528,88.0,C1515,,6,6,1674
9,0,C529,445.0,C1135,,6,1,46
9,1,C3173,,C2758,,6,3,138
9,1,C706,80.0,C298,,6,4,515
9,10,C2204,,C1685,,6,6,1223
9,11,C161,,C1707,,6,9,2741
9,11,C22442,,C359,,6,19,2789
9,11,C359,,C22442,,6,11,1496
9,2,C443,,C706,80.0,6,7,882
9,2,C443,,C754,80.0,6,7,920
9,2,C706,80.0,C443,,6,4,4387
9,2,C754,80.0,C443,,6,4,4387
9,3,C1515,,C529,389.0,6,11,2877
9,3,C529,389.0,C1515,,6,9,3220
9,44,C1515,,C586,445.0,6,136,28268
9,44,C586,445.0,C1515,,6,132,73554
9,44,C586,445.0,C1515,,6,139,80399
9,5,C1685,,C2204,,6,4,2752
9,6,C1707,,C161,,6,6,2979
9,60,C5474,,C1841,,6,4,392
9,61,C298,,C706,80.0,6,8,3044
10,0,C1515,,C528,389.0,6,14,3747
10,0,C528,389.0,C1515,,6,13,7034
10,1,C231,80.0,C443,,6,4,4387
10,1,C443,,C231,80.0,6,7,920
10,14,C247,,C467,445.0,6,13,4266
10,14,C467,445.0,C247,,6,9,1654
10,5,C3238,,C706,80.0,6,14,7786
10,5,C706,80.0,C3238,,6,10,4587
10,60,C23382,,C5736,2049.0,6,12,1584
10,60,C2695,,C5721,445.0,6,8,728
10,60,C5721,445.0,C2695,,6,4,584
10,60,C5736,2049.0,C23382,,6,6,1152
11,0,C1515,,C529,389.0,6,12,3558
11,0,C1685,,C23396,,6,4,445
11,0,C23396,,C1685,,6,6,932
11,0,C443,,C754,80.0,6,6,836
11,0,C529,389.0,C1515,,6,10,4035
11,0,C529,389.0,C1515,,6,11,4287
11,0,C706,80.0,C132,,6,4,515
11,0,C754,80.0,C443,,6,4,4387
11,1,C1515,,C529,389.0,6,10,3121
11,1,C231,80.0,C443,,6,4,4387
11,1,C443,,C231,80.0,6,7,882
11,1,C529,389.0,C1515,,6,9,1901
11,10,C4529,,C1707,,6,6,1209
11,2,C443,,C754,80.0,6,7,920
11,2,C443,,C706,80.0,6,7,920
11,2,C706,80.0,C443,,6,4,4387
11,2,C754,80.0,C443,,6,4,4387
11,23,C1295,,C1685,,6,23082,1062269
11,23,C1685,,C1295,,6,43461,60405062
11,23,C1685,,C1295,,6,43542,60517652
11,5,C1707,,C4529,,6,4,2751
11,60,C132,,C706,80.0,6,8,3005
11,60,C22112,,C23640,,17,3,282
12,0,C3544,,C706,80.0,6,7,2950
12,0,C706,80.0,C3544,,6,4,511
12,1,C231,80.0,C443,,6,4,4387
12,1,C443,,C231,80.0,6,7,920
12,10,C1638,,C1707,,6,6,1255
12,50,C2270,,C5721,22.0,6,16,3092
12,50,C5721,22.0,C2270,,6,15,2246
12,6,C1707,,C1638,,6,4,2755
12,60,C13488,,C22112,,17,3,282
12,60,C22112,,C13488,,17,3,282
12,60,C22112,,C22976,,17,3,282
13,0,C443,,C754,80.0,6,6,836
13,0,C443,,C706,80.0,6,4,362
13,0,C706,80.0,C443,,6,2,1497
13,0,C754,80.0,C443,,6,4,4387
13,1,C231,80.0,C443,,6,4,4387
13,1,C443,,C231,80.0,6,7,882
13,38,C1015,,C1392,,6,2,92
14,0,C1173,445.0,C5301,,6,1,46
14,0,C3101,,C467,389.0,17,1,236
14,0,C3101,,C586,88.0,17,1,1396
14,0,C467,389.0,C3101,,17,1,193
14,0,C5301,,C1173,445.0,6,1,52
14,0,C586,88.0,C3101,,17,1,1391
14,0,C7954,,C5721,137.0,17,1,78
14,10,C1233,,C1685,,6,6,1223
14,13,C1065,445.0,C980,,6,9,1653
14,13,C1515,,C529,135.0,6,8,1300
14,13,C1515,,C529,,6,7,795
14,13,C529,135.0,C1515,,6,6,788
14,13,C529,,C1515,,6,5,664
14,13,C980,,C1065,445.0,6,13,4233
14,38,C1015,,C4854,,6,2,92
14,6,C1685,,C1233,,6,4,2752
14,60,C21060,1433.0,C1376,,6,5,248
15,0,C1065,,C3662,,1,2,120
15,0,C231,80.0,C443,,6,3,2942
15,0,C25515,,C7632,,6,1,48
15,0,C3101,,C586,88.0,17,1,1396
15,0,C3101,,C586,88.0,17,1,1396
15,0,C3101,,C467,,1,2,120
15,0,C3101,,C467,389.0,6,11,3153
15,0,C3101,,C467,389.0,6,9,2716
15,0,C3101,,C467,389.0,6,9,2716
15,0,C3101,,C467,389.0,6,9,2716
15,0,C3662,,C586,389.0,17,1,193
15,0,C3662,,C586,88.0,17,1,1409
15,0,C3662,,C586,88.0,17,1,1406
15,0,C3662,,C1065,,1,2,120
15,0,C443,,C754,80.0,6,5,618
15,0,C467,389.0,C3101,,6,10,4175
15,0,C467,389.0,C3101,,6,8,1789
15,0,C467,389.0,C3101,,6,8,1779
15,0,C467,389.0,C3101,,6,7,1733
15,0,C467,,C3101,,1,2,120
15,0,C586,389.0,C3662,,17,1,193
15,0,C586,88.0,C3101,,17,1,1391
15,0,C586,88.0,C3101,,17,1,1391
15,0,C586,88.0,C3662,,17,1,1382
15,0,C754,80.0,C443,,6,3,2942
15,1,C1905,,C706,80.0,6,7,2972
15,1,C2270,,C5720,443.0,6,12,1382
15,1,C5720,443.0,C2270,,6,10,1665
15,1,C706,80.0,C1905,,6,4,511
15,10,C3101,,C467,135.0,6,8,859
15,10,C3101,,C467,,6,7,871
15,10,C467,135.0,C3101,,6,6,800
15,10,C467,,C3101,,6,5,436
15,11,C3101,,C467,445.0,6,264,42020
15,11,C467,445.0,C3101,,6,270,65900
15,12,C1065,445.0,C1277,,6,9,1653
15,12,C1277,,C1065,445.0,6,13,4233
15,2,C1065,445.0,C3662,,6,11,1476
15,2,C3662,,C1065,445.0,6,12,3821
15,60,C20101,,C25374,,17,4,336
15,60,C25374,,C20101,,17,4,224
15,60,C443,,C231,80.0,6,6,664
16,0,C2270,,C5720,443.0,6,12,1383
16,0,C3662,,C586,88.0,17,1,1410
16,0,C3662,,C625,,1,2,120
16,0,C4835,,C706,80.0,6,1,46
16,0,C5720,443.0,C2270,,6,10,1791
16,0,C586,88.0,C3662,,17,1,1401
16,0,C586,88.0,C3662,,17,1,1384
16,0,C625,,C3662,,1,2,120
16,1,C3662,,C625,445.0,6,15,4133
16,1,C625,445.0,C3662,,6,13,2073
16,10,C1167,,C1707,,6,12,7074
16,10,C3277,,C1707,,6,6,1155
16,11,C5215,,C1707,,6,9,3005
16,11,C5530,,C1707,,6,10,3782
16,2,C528,445.0,C2775,,6,3,270
16,29,C3101,,C467,,6,7,631
16,29,C3101,,C467,135.0,6,7,540
16,29,C467,135.0,C3101,,6,5,520
16,29,C467,,C3101,,6,5,548
16,38,C1015,,C3224,,6,2,92
16,5,C1707,,C3277,,6,4,2576
16,6,C1707,,C1167,,6,7,3026
16,6,C1707,,C5215,,6,6,2975
16,6,C1707,,C5530,,6,6,2976
17,0,C1707,,C676,,6,4,413
17,0,C1707,,C676,,6,4,414
17,0,C1823,,C2127,445.0,6,1,52
17,0,C2127,445.0,C1823,,6,1,46
17,0,C3670,,C612,,1,2,120
17,0,C4343,,C467,445.0,6,1,46
17,0,C467,445.0,C4343,,6,1,46
17,0,C612,,C3670,,1,2,120
17,0,C676,,C1707,,6,5,847
17,0,C676,,C1707,,6,4,801
17,0,C7954,,C5721,137.0,17,1,78
17,1,C930,,C5721,445.0,6,2,178
17,12,C3670,,C612,445.0,6,17,4347
17,12,C612,445.0,C3670,,6,15,2418
17,15,C2619,,C1707,,6,6,1213
17,5,C1707,,C2619,,6,4,2755
17,62,C3173,445.0,C4639,,6,259,27250
18,10,C1354,,C1685,,6,6,1222
18,11,C24451,137.0,C4174,137.0,17,9,756
18,14,C1508,,C2109,445.0,6,13,4220
18,5,C1685,,C1354,,6,4,2752
19,0,C1344,,C585,445.0,6,1,52
19,0,C3935,,C706,80.0,6,1,46
19,1,C3173,,C4639,,6,3,138
19,10,C1384,,C1685,,6,6,1181
19,12,C3202,,C1707,,6,9,2969
19,13,C2109,445.0,C1508,,6,9,1653
19,13,C3173,135.0,C4639,,6,6,716
19,31,C4891,,C5721,445.0,6,5,620
19,38,C1015,,C732,,6,2,92
19,6,C1685,,C1384,,6,4,2752
19,60,C5571,,C12166,161.0,17,4,428
19,69,C195,,C5721,445.0,6,635,129470
19,7,C1707,,C3202,,6,6,2975
20,0,C16054,,C19924,,6,1,46
20,0,C19924,,C16054,,6,1,64
20,0,C4249,,C706,80.0,6,1,46
20,0,C7954,,C5721,137.0,17,1,78
20,1,C3173,,C4639,,6,3,138
20,1,C5474,,C1970,,6,2,196
20,1,C706,80.0,C919,,6,7,4122
20,16,C528,445.0,C4915,,6,9,2359
20,60,C919,,C706,80.0,6,9,3630
21,0,C11573,111.0,C5736,,17,1,56
21,0,C1685,,C4915,,6,4,413
21,0,C1685,,C4915,,6,4,414
21,0,C2109,389.0,C4093,,17,1,195
21,0,C4093,,C467,389.0,6,12,3434
21,0,C4093,,C2109,389.0,17,1,236
21,0,C467,389.0,C4093,,6,12,7454
21,0,C4915,,C1685,,6,5,856
21,0,C4915,,C1685,,6,5,856
21,0,C5736,,C11573,111.0,17,1,84
21,0,C706,80.0,C1624,,6,4,511
21,38,C1015,,C4773,,6,2,92
21,60,C1624,,C706,80.0,6,8,2998
21,9,C1822,,C3319,,6,3,144
21,9,C1822,,C2486,,6,3,144
22,0,C25515,,C7632,,6,1,48
22,0,C3173,445.0,C1744,,6,1,79
22,0,C936,,C706,80.0,6,1,46
22,11,C1487,,C1707,,6,9,2418
22,56,C4174,137.0,C194,137.0,17,8,672
22,6,C1707,,C1487,,6,6,2979
22,60,C4369,,C5721,445.0,6,34,4316
22,60,C5721,445.0,C4369,,6,32,3568
22,9,C3538,,C4116,,6,3,144
23,0,C1065,389.0,C5713,,17,1,117
23,0,C1707,,C3407,,6,4,409
23,0,C1707,,C3407,,6,4,410
23,0,C25515,,C7632,,6,1,48
23,0,C3407,,C1707,,6,5,852
23,0,C3407,,C1707,,6,5,852
23,0,C5713,,C1065,389.0,17,1,80
23,10,C191,,C1707,,6,6,1222
23,10,C24451,137.0,C4920,137.0,17,6,468
23,11,C3928,,C1685,,6,9,2934
23,29,C23679,,C11539,,1,30,2520
23,30,C5478,443.0,C443,,6,20,8443
23,34,C4468,,C5721,445.0,6,4,278
23,34,C5721,445.0,C4468,,6,2,186
23,5,C1707,,C191,,6,4,2755
23,6,C1685,,C3928,,6,6,2972
23,61,C5720,445.0,C8998,2010.0,6,3,279
23,61,C5720,445.0,C8998,,6,3,279
23,61,C8998,2010.0,C5720,445.0,6,6,417
23,61,C8998,,C5720,445.0,6,6,417
23,9,C1340,,C787,,6,3,144
23,9,C3538,2601.0,C24735,,6,3,144
23,9,C3871,,C23147,,6,3,144
24,0,C2629,,C706,80.0,6,1,46
24,0,C706,80.0,C5211,,6,4,511
24,1,C3173,,C1554,,6,2,92
24,12,C1556,,C2109,445.0,6,13,4240
24,12,C2109,445.0,C1556,,6,9,1653
24,14,C3173,135.0,C1554,,6,6,716
24,60,C5211,,C706,80.0,6,8,2982
25,0,C1229,,C1707,,6,5,857
25,0,C1229,,C1707,,6,5,857
25,0,C1707,,C1229,,6,4,414
25,0,C1707,,C1229,,6,4,413
25,0,C2117,,C5721,445.0,6,8,960
25,0,C706,80.0,C993,,6,4,515
25,1,C3173,,C1538,,6,3,138
25,10,C159,,C1707,,6,6,1222
25,10,C3718,,C1707,,6,6,1223
25,12,C2767,,C529,445.0,6,13,4233
25,12,C3173,135.0,C1538,,6,6,716
25,12,C529,445.0,C2767,,6,9,1653
25,30,C4254,,C612,135.0,6,10,978
25,30,C4254,,C612,,6,10,1077
25,30,C612,135.0,C4254,,6,7,1080
25,30,C612,,C4254,,6,7,1060
25,6,C1707,,C159,,6,4,2755
25,6,C1707,,C3718,,6,4,2755
25,60,C993,,C706,80.0,6,8,3044
25,61,C2086,,C5721,445.0,6,42,9102
26,0,C1219,,C1685,,6,5,856
26,0,C1219,,C1685,,6,5,856
26,0,C1685,,C1219,,6,4,413
26,0,C1685,,C1219,,6,4,414
26,0,C1685,,C5225,,6,4,409
26,0,C1685,,C5225,,6,4,410
26,0,C3173,,C1554,,6,1,46
26,0,C3921,,C706,80.0,6,1,46
26,0,C5225,,C1685,,6,5,853
26,0,C5225,,C1685,,6,5,853
26,1,C3173,,C1538,,6,3,138
26,1,C3173,,C1554,,6,3,138
26,11,C421,,C1707,,6,9,3062
26,12,C1685,,C2893,,6,32856,45653426
26,12,C1685,,C2893,,6,32912,45731266
26,12,C2893,,C1685,,6,17412,801967
26,20,C1581,1433.0,C368,,6,4,190
26,20,C368,,C1581,1433.0,6,4,190
26,38,C1015,,C459,,6,2,92
26,6,C1707,,C421,,6,6,2975
26,71,C3173,445.0,C1185,,6,318,33443
27,0,C2109,389.0,C5661,,6,1,46
27,0,C2320,,C467,139.0,6,4,216
27,0,C2320,,C467,88.0,17,1,198
27,0,C2320,,C467,88.0,17,1,276
27,0,C2320,,C467,88.0,17,1,1386
27,0,C2320,,C467,88.0,17,1,1396
27,0,C467,139.0,C2320,,6,2,112
27,0,C467,88.0,C2320,,17,1,430
27,0,C467,88.0,C2320,,17,1,1398
27,0,C467,88.0,C2320,,17,1,1404
27,0,C467,88.0,C2320,,17,1,1376
27,0,C528,389.0,C2016,,17,1,195
27,0,C5661,,C2109,389.0,6,1,64
27,1,C2320,,C467,445.0,6,19,5423
27,1,C467,445.0,C2320,,6,14,2501
27,1,C467,445.0,C2320,,6,15,2561
27,13,C528,135.0,C2016,,6,6,792
27,13,C528,,C2016,,6,5,664
27,2,C4254,,C625,445.0,6,22,4713
27,2,C625,445.0,C4254,,6,25,17206
27,55,C24450,137.0,C4174,137.0,17,9,702
27,60,C3774,,C22620,161.0,17,4,428
27,70,C3173,445.0,C1744,,6,407,42791
28,0,C1065,389.0,C5753,,17,1,191
28,0,C1065,389.0,C5753,,17,1,117
28,0,C20510,,C7632,,6,1,48
28,0,C3611,,C457,389.0,6,15,5498
28,0,C3611,,C612,389.0,6,12,4653
28,0,C3611,,C612,389.0,6,13,5310
28,0,C3611,,C612,389.0,17,1,192
28,0,C3611,,C612,389.0,6,11,4873
28,0,C457,389.0,C3611,,6,12,6981
28,0,C4847,,C706,80.0,6,7,2951
28,0,C528,,C3701,,1,2,120
28,0,C5753,,C1065,389.0,17,1,108
28,0,C5753,,C1065,389.0,17,1,80
28,0,C612,389.0,C3611,,6,8,3174
28,0,C612,389.0,C3611,,6,10,4241
28,0,C612,389.0,C3611,,17,1,193
28,0,C612,389.0,C3611,,6,9,1901
28,0,C706,80.0,C2798,,6,4,515
28,0,C706,80.0,C4847,,6,4,511
28,10,C426,,C1707,,6,9,3017
28,11,C528,445.0,C3701,,6,15,2418
28,12,C3611,,C457,445.0,6,15,7720
28,12,C457,445.0,C3611,,6,10,2405
28,15,C3611,,C529,,6,7,1499
28,15,C3611,,C529,135.0,6,8,1300
28,15,C529,135.0,C3611,,6,6,884
28,15,C529,,C3611,,6,6,1888
28,35,C467,445.0,C2320,,6,2,1168
28,36,C3611,,C586,445.0,6,87,22251
28,36,C586,445.0,C3611,,6,80,19232
28,6,C1707,,C426,,6,6,2975
28,60,C2588,,C8553,,6,4,209
28,60,C2798,,C706,80.0,6,8,3005
28,9,C1670,,C3371,,6,3,144
29,0,C5720,445.0,C542,,6,1,46
29,1,C706,80.0,C2385,,6,4,515
29,10,C278,,C1685,,6,6,1223
29,5,C1685,,C278,,6,4,2752
29,61,C2385,,C706,80.0,6,8,2995
30,0,C542,,C5720,445.0,6,1,46
30,60,C2645,,C2588,,6,3,138
31,0,C20473,,C2519,445.0,6,1,52
31,0,C2519,445.0,C20473,,6,1,46
31,0,C3714,,C586,,1,2,120
31,0,C586,,C3714,,1,2,120
31,11,C3714,,C586,445.0,6,14,3963
31,11,C586,445.0,C3714,,6,12,2181
31,30,C5721,445.0,C2997,,6,2,186
31,60,C5474,,C3088,,6,30,3650
32,0,C1973,80.0,C433,,6,5,448
32,0,C1973,80.0,C433,,6,5,448
32,0,C1973,80.0,C433,,6,5,448
32,0,C1973,80.0,C433,,6,5,448
32,0,C433,,C1973,80.0,6,7,1703
32,0,C433,,C1973,80.0,6,7,1703
32,0,C433,,C1973,80.0,6,7,1694
32,0,C433,,C1973,80.0,6,7,1694
32,0,C8177,,C7632,,6,1,48
32,1,C1707,,C4647,,6,4,413
32,1,C4647,,C1707,,6,5,856
32,14,C2300,,C585,445.0,6,20,4597
33,0,C1707,,C4647,,6,4,414
33,0,C1973,80.0,C2989,,6,5,448
33,0,C1973,80.0,C2989,,6,5,448
33,0,C1973,80.0,C2989,,6,5,448
33,0,C1973,80.0,C2989,,6,5,448
33,0,C2989,,C1973,80.0,6,7,1715
33,0,C2989,,C1973,80.0,6,7,1715
33,0,C2989,,C467,389.0,17,1,237
33,0,C2989,,C1973,80.0,6,7,1706
33,0,C2989,,C1973,80.0,6,7,1706
33,0,C3001,,C5030,443.0,6,6,1578
33,0,C3025,,C529,,1,2,120
33,0,C3605,,C706,80.0,6,8,3903
33,0,C4647,,C1707,,6,5,856
33,0,C467,389.0,C2989,,17,1,193
33,0,C5030,443.0,C3001,,6,5,1481
33,0,C529,,C3025,,1,2,120
33,0,C706,80.0,C3605,,6,7,4127
33,11,C3025,,C529,445.0,6,17,4347
33,11,C529,445.0,C3025,,6,15,2418
33,29,C23679,,C13655,,1,30,2520
33,29,C23679,,C13762,,1,30,2520
33,29,C23679,,C14563,,1,30,2520
33,29,C23679,,C16038,,1,30,2520
33,29,C23679,,C21927,,1,30,2520
33,35,C1903,,C5720,445.0,6,4,278
33,38,C1015,,C994,,6,2,92
33,61,C1697,139.0,C1823,,6,61,17327
33,61,C1823,,C1697,139.0,6,65,21046
33,61,C5474,,C1970,,6,4,392
33,72,C3173,445.0,C2758,,6,318,33443
34,0,C1443,,C5721,445.0,6,2,178
34,0,C1685,,C5888,,6,4,372
34,0,C1845,137.0,C4174,137.0,17,2,156
34,0,C1845,138.0,C586,138.0,17,1,208
34,0,C1845,,C586,389.0,17,1,194
34,0,C25515,,C7632,,6,1,48
34,0,C3407,,C706,80.0,6,1,46
34,0,C4174,137.0,C1845,137.0,17,2,180
34,0,C528,389.0,C4384,,6,10,5293
34,0,C586,389.0,C1845,,17,1,193
