time,src_user_domain,dst_user_domain,src_computer,dst_computer,auth_type,logon_type,auth_orientation,success,success_flag
1,C3450$@DOM1,C3450$@DOM1,C3450,C625,Kerberos,Network,LogOn,Success,1
1,C4352$@DOM1,C4352$@DOM1,C1065,C1065,?,Network,LogOff,Success,1
1,C457$@DOM1,C457$@DOM1,C457,C457,?,Network,LogOff,Success,1
1,C457$@DOM1,C457$@DOM1,C516,C457,Kerberos,Network,LogOn,Success,1
1,C467$@DOM1,U188@DOM1,C2485,C467,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Success,1
1,C495$@DOM1,SYSTEM@C495,C495,C495,Negotiate,Service,LogOn,Success,1
1,C520$@DOM1,SYSTEM@C520,C520,C520,Negotiate,Service,LogOn,Success,1
1,C528$@DOM1,U147@DOM1,C528,C528,Negotiate,Batch,LogOn,Success,1
1,C538$@DOM1,C538$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C553$@DOM1,C553$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C553$@DOM1,U175@DOM1,C553,C553,Negotiate,Batch,LogOn,Success,1
1,C555$@DOM1,SYSTEM@C555,C555,C555,Negotiate,Service,LogOn,Success,1
1,C567$@DOM1,C567$@DOM1,C101,C101,?,Network,LogOff,Success,1
1,C567$@DOM1,C567$@DOM1,C553,C553,?,Network,LogOff,Success,1
1,C567$@DOM1,C567$@DOM1,C574,C101,Kerberos,Network,LogOn,Success,1
1,C567$@DOM1,C567$@DOM1,C574,C553,Kerberos,Network,LogOn,Success,1
1,C567$@DOM1,C567$@DOM1,C574,C988,Kerberos,Network,LogOn,Success,1
1,C580$@DOM1,SYSTEM@C580,C580,C580,Negotiate,Service,LogOn,Success,1
1,C599$@DOM1,C599$@DOM1,C553,C553,?,Network,LogOff,Success,1
1,C600$@DOM1,SYSTEM@C600,C600,C600,Negotiate,Service,LogOn,Success,1
1,C608$@DOM1,C608$@DOM1,C608,C467,?,?,TGS,Success,1
1,C608$@DOM1,C608$@DOM1,C608,C467,Kerberos,Network,LogOn,Success,1
1,C608$@DOM1,C608$@DOM1,C608,C529,Kerberos,Network,LogOn,Success,1
1,C625$@DOM1,C625$@DOM1,C1798,C625,Kerberos,Network,LogOn,Success,1
1,C625$@DOM1,C625$@DOM1,C2052,C625,Kerberos,Network,LogOn,Success,1
1,C625$@DOM1,C625$@DOM1,C625,C625,?,Network,LogOff,Success,1
1,C625$@DOM1,U147@DOM1,C625,C625,Negotiate,Batch,LogOn,Success,1
1,C653$@DOM1,SYSTEM@C653,C653,C653,Negotiate,Service,LogOn,Success,1
1,C660$@DOM1,SYSTEM@C660,C660,C660,Negotiate,Service,LogOn,Success,1
1,C674$@DOM1,SYSTEM@C674,C674,C674,Negotiate,Service,LogOn,Success,1
1,C688$@DOM1,C688$@DOM1,C688,C1065,Kerberos,Network,LogOn,Success,1
1,C693$@DOM1,C693$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C725$@DOM1,SYSTEM@C725,C725,C725,Negotiate,Service,LogOn,Success,1
1,C740$@DOM1,SYSTEM@C740,C740,C740,Negotiate,Service,LogOn,Success,1
1,C748$@DOM1,SYSTEM@C748,C748,C748,Negotiate,Service,LogOn,Success,1
1,C784$@DOM1,C784$@DOM1,C784,C625,Kerberos,Network,LogOn,Success,1
1,C810$@DOM1,C810$@DOM1,C1065,C1065,?,Network,LogOff,Success,1
1,C820$@DOM1,SYSTEM@C820,C820,C820,Negotiate,Service,LogOn,Success,1
1,C90$@DOM1,SYSTEM@C90,C90,C90,Negotiate,Service,LogOn,Success,1
1,C916$@DOM1,C916$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C922$@DOM1,C922$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C977$@DOM1,SYSTEM@C977,C977,C977,Negotiate,Service,LogOn,Success,1
1,C988$@DOM1,U175@DOM1,C988,C988,Negotiate,Batch,LogOn,Success,1
1,LOCAL SERVICE@C2493,LOCAL SERVICE@C2493,C2493,C2493,Negotiate,Service,LogOn,Success,1
1,U101@DOM1,C1862$@DOM1,C1862,C1862,?,?,AuthMap,Success,1
1,U101@DOM1,U101@DOM1,C1862,C1862,Negotiate,Interactive,LogOn,Success,1
1,U10@DOM1,U10@DOM1,C229,C229,Kerberos,Network,LogOn,Success,1
1,U10@DOM1,U10@DOM1,C62,C528,Kerberos,Network,LogOn,Success,1
1,U1137@DOM1,U1137@DOM1,C1065,C1065,?,Network,LogOff,Success,1
1,U1137@DOM1,U1137@DOM1,C625,C625,?,Network,LogOff,Success,1
1,U119@DOM1,U119@DOM1,C229,C229,?,Network,LogOff,Success,1
1,U119@DOM1,U119@DOM1,C229,C229,Kerberos,Network,LogOn,Success,1
1,U129@DOM1,U129@DOM1,C419,C419,?,Network,LogOff,Success,1
1,U129@DOM1,U129@DOM1,C419,C419,Kerberos,Network,LogOn,Success,1
1,U147@DOM1,C528$@DOM1,C528,C528,?,?,AuthMap,Success,1
1,U147@DOM1,C625$@DOM1,C625,C625,?,?,AuthMap,Success,1
1,U147@DOM1,U147@DOM1,C2191,C2191,?,?,TGT,Success,1
1,U147@DOM1,U147@DOM1,C2191,C528,?,?,TGS,Success,1
1,U147@DOM1,U147@DOM1,C2191,C625,?,?,TGS,Success,1
1,U15@DOM1,U15@DOM1,C419,C419,?,Network,LogOff,Success,1
1,U15@DOM1,U15@DOM1,C419,C419,Kerberos,Network,LogOn,Success,1
1,U175@DOM1,C553$@DOM1,C553,C553,?,?,AuthMap,Success,1
1,U175@DOM1,C988$@DOM1,C988,C988,?,?,AuthMap,Success,1
1,U175@DOM1,U175@DOM1,C1085,C1085,?,?,TGS,Success,1
1,U175@DOM1,U175@DOM1,C1085,C1085,?,?,TGT,Success,1
1,U175@DOM1,U175@DOM1,C1709,C1708,?,?,TGS,Success,1
1,U175@DOM1,U175@DOM1,C1709,C1709,?,?,TGT,Success,1
1,U175@DOM1,U175@DOM1,C1932,C1931,?,?,TGS,Success,1
1,U175@DOM1,U175@DOM1,C1932,C1932,?,?,TGT,Success,1
1,U175@DOM1,U175@DOM1,C2093,C2092,?,?,TGS,Success,1
1,U175@DOM1,U175@DOM1,C2093,C2093,?,?,TGT,Success,1
1,U175@DOM1,U175@DOM1,C988,C988,?,?,TGS,Success,1
1,U175@DOM1,U175@DOM1,C988,C988,?,?,TGT,Success,1
1,U1782@DOM1,U1782@DOM1,C2800,C2800,?,?,TGS,Success,1
1,U1782@DOM1,U1782@DOM1,C2800,C2800,?,?,TGT,Success,1
1,U1782@DOM1,U1782@DOM1,C2800,C2800,Negotiate,Batch,LogOn,Fail,0
1,U188@DOM1,C467$@DOM1,C467,C467,?,?,AuthMap,Success,1
1,U198@DOM1,U198@DOM1,C1484,C1484,?,?,TGS,Success,1
1,U198@DOM1,U198@DOM1,C1484,C1484,?,?,TGT,Success,1
1,U1@DOM1,U1@DOM1,C456,C457,Kerberos,Network,LogOn,Success,1
1,U20@DOM1,U20@DOM1,C1750,U20,?,?,TGS,Success,1
1,U20@DOM1,U20@DOM1,C716,U20,?,?,TGS,Success,1
1,U21@DOM1,U25@DOM1,C1603,C1603,?,?,AuthMap,Success,1
1,U22@DOM1,U22@DOM1,C625,C625,?,Network,LogOff,Success,1
1,U22@DOM1,U22@DOM1,C965,C625,Kerberos,Network,LogOn,Success,1
1,U23@DOM1,U24@DOM1,C1720,C1720,?,?,AuthMap,Success,1
1,U2483@DOM1,U2483@DOM1,C1922,C1922,?,?,TGT,Success,1
1,U25@DOM1,U21@DOM1,C1603,C1603,Kerberos,Network,LogOn,Success,1
1,U25@DOM3,U30@DOM3,C798,C798,Kerberos,Network,LogOn,Success,1
1,U26@DOM1,U26@DOM1,C1730,C1730,?,?,TGT,Success,1
1,U26@DOM1,U26@DOM1,C1730,TGT,?,?,TGS,Success,1
1,U26@DOM1,U26@DOM1,C1730,U26,?,?,TGS,Fail,0
1,U26@DOM1,U26@DOM1,C1730,U26,?,?,TGS,Success,1
1,U26@DOM1,U27@DOM1,C616,C616,Kerberos,Network,LogOn,Success,1
1,U27@DOM1,U26@DOM1,C616,C616,?,?,AuthMap,Success,1
1,U30@DOM1,U30@DOM1,C716,C716,?,Network,LogOff,Success,1
1,U30@DOM3,U25@DOM3,C798,C798,?,?,AuthMap,Success,1
1,U30@DOM3,U30@DOM3,C798,C798,?,Network,LogOff,Success,1
1,U327@DOM1,U327@DOM1,C612,C612,?,Network,LogOff,Success,1
1,U32@DOM1,U32@DOM1,C815,C625,Kerberos,Network,LogOn,Success,1
1,U3@DOM1,U3@DOM1,C1191,C586,Kerberos,Network,LogOn,Success,1
1,U3@DOM1,U3@DOM1,C419,C419,?,Network,LogOff,Success,1
1,U3@DOM1,U3@DOM1,C419,C419,Kerberos,Network,LogOn,Success,1
1,U3@DOM1,U3@DOM1,C626,C528,Kerberos,Network,LogOn,Success,1
1,U415@DOM1,U415@DOM1,C1570,C1570,?,?,TGS,Success,1
1,U415@DOM1,U415@DOM1,C1570,C1570,?,?,TGT,Success,1
1,U45@C1504,C1504$@DOM1,C1504,C1504,?,?,AuthMap,Success,1
1,U45@C1504,U45@C1504,C1504,C1504,?,Batch,LogOff,Success,1
1,U46@DOM1,U46@DOM1,C423,C423,?,?,TGS,Success,1
1,U46@DOM1,U46@DOM1,C423,C423,?,?,TGT,Success,1
1,U47@DOM1,U47@DOM1,C1152,C1152,?,?,TGS,Success,1
1,U47@DOM1,U47@DOM1,C1152,C1152,?,?,TGT,Success,1
1,U47@DOM1,U47@DOM1,C1152,C529,?,?,TGS,Success,1
1,U47@DOM1,U47@DOM1,C1152,TGT,?,?,TGS,Success,1
1,U48@DOM1,U48@DOM1,C419,C419,?,Network,LogOff,Success,1
1,U48@DOM1,U48@DOM1,C419,C419,Kerberos,Network,LogOn,Success,1
1,U4@DOM1,U4@DOM1,C229,C229,Kerberos,Network,LogOn,Success,1
1,U59@DOM1,U59@DOM1,C1634,C1634,?,?,TGS,Success,1
1,U59@DOM1,U59@DOM1,C1634,C1634,?,?,TGT,Success,1
1,U5@DOM1,U5@DOM1,C229,C229,Kerberos,Network,LogOn,Success,1
1,U66@DOM1,U66@DOM1,C3868,C3868,?,Network,LogOff,Success,1
1,U66@DOM1,U66@DOM1,C3868,C3868,Kerberos,Network,LogOn,Success,1
1,U68@DOM1,U2@DOM1,C1681,C1681,?,?,AuthMap,Success,1
1,U68@DOM1,U68@DOM1,C1679,C1679,?,Batch,LogOff,Success,1
1,U68@DOM1,U68@DOM1,C1681,C1681,?,Batch,LogOff,Success,1
1,U68@DOM1,U68@DOM1,C1681,C1681,Negotiate,Batch,LogOn,Success,1
1,U6@DOM1,U6@DOM1,C1183,C625,Kerberos,Network,LogOn,Success,1
1,U6@DOM1,U6@DOM1,C606,C1065,?,?,TGS,Success,1
1,U6@DOM1,U6@DOM1,C606,C529,?,?,TGS,Success,1
1,U6@DOM1,U6@DOM1,C606,C529,Kerberos,Network,LogOn,Success,1
1,U6@DOM1,U6@DOM1,C606,TGT,?,?,TGS,Success,1
1,U6@DOM1,U6@DOM1,C606,U6,?,?,TGS,Success,1
1,U6@DOM1,U6@DOM1,C61,C61,?,Network,LogOff,Success,1
1,U6@DOM1,U6@DOM1,C92,C1065,Kerberos,Network,LogOn,Success,1
1,U6@DOM1,U7@DOM1,C606,C606,Kerberos,Network,LogOn,Success,1
1,U73@?,U73@?,C1692,C1692,?,?,TGT,Fail,0
1,U77@DOM1,U77@DOM1,C2742,C2742,?,?,TGT,Fail,0
1,U77@DOM1,U77@DOM1,C529,C529,?,?,TGT,Fail,0
1,U78@DOM1,C1727$@DOM1,C1727,C1727,?,?,AuthMap,Success,1
1,U78@DOM1,U78@DOM1,C1727,C1727,?,?,TGS,Success,1
1,U78@DOM1,U78@DOM1,C1727,C1727,?,?,TGT,Success,1
1,U78@DOM1,U78@DOM1,C1727,C1727,Negotiate,Batch,LogOn,Success,1
1,U78@DOM1,U78@DOM1,C1727,C2516,?,?,TGS,Success,1
1,U78@DOM1,U78@DOM1,C1727,C529,?,?,TGS,Success,1
1,U78@DOM1,U78@DOM1,C1727,C529,Kerberos,Network,LogOn,Success,1
1,U78@DOM1,U78@DOM1,C1727,TGT,?,?,TGS,Success,1
1,U78@DOM1,U78@DOM1,C1848,C1848,?,?,TGS,Success,1
1,U78@DOM1,U78@DOM1,C1848,C1848,?,?,TGT,Success,1
1,U78@DOM1,U78@DOM1,C1848,C1848,Negotiate,Interactive,LogOn,Success,1
1,U78@DOM1,U78@DOM1,C1848,U20,?,?,TGS,Success,1
1,U7@DOM1,U6@DOM1,C606,C606,?,?,AuthMap,Success,1
1,U7@DOM1,U7@DOM1,C606,C606,?,Network,LogOff,Success,1
1,U81@C2547,C2547$@DOM1,C2547,C2547,?,?,AuthMap,Success,1
1,U81@C2547,U81@C2547,C2547,C2547,Negotiate,Batch,LogOn,Success,1
1,U86@?,U86@?,C1654,C1654,?,?,TGT,Fail,0
1,U86@?,U86@?,C1846,C1846,?,?,TGT,Fail,0
1,U86@?,U86@?,C457,C457,?,?,TGT,Fail,0
1,U86@DOM1,C1767$@DOM1,C1767,C1767,?,?,AuthMap,Success,1
1,U898@DOM1,U898@DOM1,C2944,C2944,?,Network,LogOff,Success,1
1,U898@DOM1,U898@DOM1,C2944,C2944,NTLM,Network,LogOn,Success,1
1,U8@DOM1,U8@DOM1,C419,C419,Kerberos,Network,LogOn,Success,1
1,U8@DOM1,U8@DOM1,C626,C626,?,?,TGS,Success,1
1,U8@DOM1,U8@DOM1,C626,C626,?,?,TGT,Success,1
1,U90@DOM1,C1785$@DOM1,C1785,C1785,?,?,AuthMap,Success,1
1,U90@DOM1,C1786$@DOM1,C1786,C1786,?,?,AuthMap,Success,1
1,U90@DOM1,U90@DOM1,C1785,C1785,?,?,TGS,Success,1
1,U90@DOM1,U90@DOM1,C1785,C1785,?,?,TGT,Success,1
1,U90@DOM1,U90@DOM1,C1785,C1785,Negotiate,Batch,LogOn,Success,1
1,U90@DOM1,U90@DOM1,C1785,C457,?,?,TGS,Success,1
1,U90@DOM1,U90@DOM1,C1785,C457,Kerberos,Network,LogOn,Success,1
1,U90@DOM1,U90@DOM1,C1785,TGT,?,?,TGS,Success,1
1,U90@DOM1,U90@DOM1,C1786,C1786,?,?,TGS,Success,1
1,U90@DOM1,U90@DOM1,C1786,C1786,?,?,TGT,Success,1
1,U90@DOM1,U90@DOM1,C1786,C1786,Negotiate,Batch,LogOn,Success,1
1,U90@DOM1,U90@DOM1,C457,C457,?,Network,LogOff,Success,1
1,U91@DOM1,C1787$@DOM1,C1787,C1787,?,?,AuthMap,Success,1
1,U91@DOM1,U91@DOM1,C1787,C1787,Negotiate,Batch,LogOn,Success,1
2,ANONYMOUS LOGON@C1529,ANONYMOUS LOGON@C1529,C1529,C1529,?,Network,LogOff,Success,1
2,ANONYMOUS LOGON@C457,ANONYMOUS LOGON@C457,C4615,C457,NTLM,Network,LogOn,Success,1
2,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C2734,C586,NTLM,Network,LogOn,Success,1
2,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C3896,C586,NTLM,Network,LogOn,Success,1
2,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C671,C586,NTLM,Network,LogOn,Success,1
2,C100$@DOM1,SYSTEM@C100,C100,C100,Negotiate,Service,LogOn,Success,1
2,C1009$@DOM1,SYSTEM@C1009,C1009,C1009,Negotiate,Service,LogOn,Success,1
2,C1012$@DOM1,SYSTEM@C1012,C1012,C1012,Negotiate,Service,LogOn,Success,1
2,C1016$@DOM1,SYSTEM@C1016,C1016,C1016,Negotiate,Service,LogOn,Success,1
2,C1024$@DOM1,SYSTEM@C1024,C1024,C1024,Negotiate,Service,LogOn,Success,1
2,C1039$@DOM1,SYSTEM@C1039,C1039,C1039,Negotiate,Service,LogOn,Success,1
2,C104$@DOM1,C104$@DOM1,C105,C523,NTLM,Network,LogOn,Success,1
2,C1047$@DOM1,SYSTEM@C1047,C1047,C1047,Negotiate,Service,LogOn,Success,1
2,C1048$@DOM1,SYSTEM@C1048,C1048,C1048,Negotiate,Service,LogOn,Success,1
2,C1050$@DOM1,SYSTEM@C1050,C1050,C1050,Negotiate,Service,LogOn,Success,1
2,C1053$@DOM1,SYSTEM@C1053,C1053,C1053,Negotiate,Service,LogOn,Success,1
2,C1055$@DOM1,SYSTEM@C1055,C1055,C1055,Negotiate,Service,LogOn,Success,1
2,C1059$@DOM1,SYSTEM@C1059,C1059,C1059,Negotiate,Service,LogOn,Success,1
2,C1060$@DOM1,SYSTEM@C1060,C1060,C1060,Negotiate,Service,LogOn,Success,1
2,C1064$@DOM1,SYSTEM@C1064,C1064,C1064,Negotiate,Service,LogOn,Success,1
2,C1070$@DOM1,SYSTEM@C1070,C1070,C1070,Negotiate,Service,LogOn,Success,1
2,C1071$@DOM1,SYSTEM@C1071,C1071,C1071,Negotiate,Service,LogOn,Success,1
2,C1073$@DOM1,SYSTEM@C1073,C1073,C1073,Negotiate,Service,LogOn,Success,1
2,C1074$@DOM1,SYSTEM@C1074,C1074,C1074,Negotiate,Service,LogOn,Success,1
2,C1076$@DOM1,SYSTEM@C1076,C1076,C1076,Negotiate,Service,LogOn,Success,1
2,C1077$@DOM1,SYSTEM@C1077,C1077,C1077,Negotiate,Service,LogOn,Success,1
2,C1078$@DOM1,SYSTEM@C1078,C1078,C1078,Negotiate,Service,LogOn,Success,1
2,C1081$@DOM1,SYSTEM@C1081,C1081,C1081,Negotiate,Service,LogOn,Success,1
2,C1082$@DOM1,SYSTEM@C1082,C1082,C1082,Negotiate,Service,LogOn,Success,1
2,C1085$@DOM1,U175@DOM1,C1085,C1085,Negotiate,Batch,LogOn,Success,1
2,C1086$@DOM1,SYSTEM@C1086,C1086,C1086,Negotiate,Service,LogOn,Success,1
2,C1091$@DOM1,SYSTEM@C1091,C1091,C1091,Negotiate,Service,LogOn,Success,1
2,C1093$@DOM1,SYSTEM@C1093,C1093,C1093,Negotiate,Service,LogOn,Success,1
2,C1097$@DOM1,SYSTEM@C1097,C1097,C1097,Negotiate,Service,LogOn,Success,1
2,C110$@DOM1,SYSTEM@C110,C110,C110,Negotiate,Service,LogOn,Success,1
2,C1102$@DOM1,SYSTEM@C1102,C1102,C1102,Negotiate,Service,LogOn,Success,1
2,C1106$@DOM1,U45@C1106,C1106,C1106,Negotiate,Batch,LogOn,Success,1
2,C1108$@DOM1,SYSTEM@C1108,C1108,C1108,Negotiate,Service,LogOn,Success,1
2,C1111$@DOM1,SYSTEM@C1111,C1111,C1111,Negotiate,Service,LogOn,Success,1
2,C1112$@DOM1,SYSTEM@C1112,C1112,C1112,Negotiate,Service,LogOn,Success,1
2,C1117$@DOM1,SYSTEM@C1117,C1117,C1117,Negotiate,Service,LogOn,Success,1
2,C1118$@DOM1,SYSTEM@C1118,C1118,C1118,Negotiate,Service,LogOn,Success,1
2,C1123$@DOM1,SYSTEM@C1123,C1123,C1123,Negotiate,Service,LogOn,Success,1
2,C1125$@DOM1,SYSTEM@C1125,C1125,C1125,Negotiate,Service,LogOn,Success,1
2,C1126$@DOM1,SYSTEM@C1126,C1126,C1126,Negotiate,Service,LogOn,Success,1
2,C1128$@DOM1,SYSTEM@C1128,C1128,C1128,Negotiate,Service,LogOn,Success,1
2,C1131$@DOM1,SYSTEM@C1131,C1131,C1131,Negotiate,Service,LogOn,Success,1
2,C1140$@DOM1,SYSTEM@C1140,C1140,C1140,Negotiate,Service,LogOn,Success,1
2,C1147$@DOM1,SYSTEM@C1147,C1147,C1147,Negotiate,Service,LogOn,Success,1
2,C1148$@DOM1,SYSTEM@C1148,C1148,C1148,Negotiate,Service,LogOn,Success,1
2,C1156$@DOM1,SYSTEM@C1156,C1156,C1156,Negotiate,Service,LogOn,Success,1
2,C1160$@DOM1,SYSTEM@C1160,C1160,C1160,Negotiate,Service,LogOn,Success,1
2,C1165$@DOM1,SYSTEM@C1165,C1165,C1165,Negotiate,Service,LogOn,Success,1
2,C1167$@DOM1,SYSTEM@C1167,C1167,C1167,Negotiate,Service,LogOn,Success,1
2,C1169$@DOM1,SYSTEM@C1169,C1169,C1169,Negotiate,Service,LogOn,Success,1
2,C1171$@DOM1,SYSTEM@C1171,C1171,C1171,Negotiate,Service,LogOn,Success,1
2,C1193$@DOM1,SYSTEM@C1193,C1193,C1193,Negotiate,Service,LogOn,Success,1
2,C1199$@DOM1,SYSTEM@C1199,C1199,C1199,Negotiate,Service,LogOn,Success,1
2,C12$@DOM1,SYSTEM@C12,C12,C12,Negotiate,Service,LogOn,Success,1
2,C1205$@DOM1,SYSTEM@C1205,C1205,C1205,Negotiate,Service,LogOn,Success,1
2,C1212$@DOM1,SYSTEM@C1212,C1212,C1212,Negotiate,Service,LogOn,Success,1
2,C1216$@DOM1,SYSTEM@C1216,C1216,C1216,Negotiate,Service,LogOn,Success,1
2,C1219$@DOM1,SYSTEM@C1219,C1219,C1219,Negotiate,Service,LogOn,Success,1
2,C1222$@DOM1,SYSTEM@C1222,C1222,C1222,Negotiate,Service,LogOn,Success,1
2,C1224$@DOM1,SYSTEM@C1224,C1224,C1224,Negotiate,Service,LogOn,Success,1
2,C1225$@DOM1,SYSTEM@C1225,C1225,C1225,Negotiate,Service,LogOn,Success,1
2,C123$@DOM1,C123$@DOM1,C101,C101,?,Network,LogOff,Success,1
